unix_ts,seq,phase,workload_id,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784715749.144110560,0,server_start,none,23690389241,11214881751,0, 31.06, 210, 0
1784715749.728313290,0,server_start,none,23690402414,11214884321,0, 31.06, 210, 0
1784715750.307771375,0,server_start,none,23690402414,11214884321,0, 31.06, 210, 0
1784715750.888973030,0,server_start,none,23690609848,11215141899,0, 31.06, 210, 0
1784715751.469703588,0,server_start,none,23690609848,11215141899,0, 31.06, 210, 0
1784715752.049571886,0,server_start,none,23690871678,11215455423,0, 31.06, 210, 0
1784715752.631838478,0,server_start,none,23690871678,11215455423,0, 31.06, 210, 0
1784715753.212403884,0,server_start,none,23691115372,11215726481,0, 31.05, 210, 0
1784715753.793324102,0,server_start,none,23691115372,11216183923,0, 31.05, 210, 0
1784715754.375937670,0,server_start,none,23691632812,11216183923,0, 31.06, 210, 0
1784715754.957417828,0,server_start,none,23692707632,11217091263,0, 31.06, 210, 0
1784715755.535703331,0,server_start,none,23692707632,11217091263,0, 31.06, 210, 0
1784715756.116494075,0,server_start,none,23693520644,11217797181,0, 31.06, 210, 0
1784715756.696229274,0,server_start,none,23693520644,11217797181,0, 31.06, 210, 0
1784715757.275574643,0,server_start,none,23693937914,11218158775,0, 31.06, 210, 0
1784715757.857713267,0,server_start,none,23693937914,11218158775,0, 31.06, 210, 0
1784715758.436398607,0,server_start,none,23694398442,11218580047,0, 31.06, 210, 0
1784715759.015632196,0,server_start,none,23694680434,11218834221,0, 31.06, 210, 0
1784715759.594172879,0,server_start,none,23694680434,11218834221,0, 31.18, 210, 0
1784715760.174373401,0,server_start,none,23695092508,11219223235,0, 31.18, 210, 0
1784715760.754524763,0,server_start,none,23695092508,11219223235,0, 31.18, 210, 0
1784715761.336012474,0,server_start,none,23695945640,11220024705,0, 31.07, 210, 0
1784715761.916292234,0,server_start,none,23695945640,11220024705,0, 31.07, 210, 0
1784715762.498585498,0,server_start,none,23697099545,11221111417,0, 31.19, 210, 0
1784715763.081059997,0,server_start,none,23697495425,11221484522,0, 31.19, 210, 0
1784715763.663021071,0,server_start,none,23697495425,11221484522,0, 31.30, 210, 0
1784715764.244678611,0,server_start,none,23697572019,11221556702,0, 31.18, 210, 0
1784715764.827028865,0,server_start,none,23697572019,11221556702,0, 31.18, 210, 0
1784715765.407998735,0,server_start,none,23697664899,11221646634,0, 31.06, 210, 0
1784715765.988349618,0,server_start,none,23697664899,11221646634,0, 31.06, 210, 0
1784715766.574777972,0,server_start,none,23697853521,11221831288,0, 31.06, 210, 0
1784715767.155330123,0,server_start,none,23698067167,11222013106,0, 31.06, 210, 0
1784715767.735301316,0,server_start,none,23698067167,11222013106,0, 31.06, 210, 0
1784715768.317091008,0,server_start,none,23698224463,11222153230,0, 31.06, 210, 0
1784715768.899104069,0,server_start,none,23698224463,11222153230,0, 31.06, 210, 0
1784715769.480360070,0,server_start,none,23698300409,11222230658,0, 31.06, 210, 0
1784715770.060494754,0,server_start,none,23698300409,11222230658,0, 31.06, 210, 0
1784715770.640190929,0,server_start,none,23698885519,11222822372,0, 31.06, 210, 0
1784715771.222233054,0,server_start,none,23699567391,11223515254,0, 31.06, 210, 0
1784715771.803042643,0,server_start,none,23699567391,11223515254,0, 42.51, 2520, 505
1784715772.384342512,0,server_start,none,23699862655,11223829250,0, 66.89, 2520, 557
1784715772.957890450,0,server_start,none,23699862655,11223829250,0, 78.29, 2520, 943
1784715773.537013489,0,server_start,none,23700416225,11224359022,0, 78.51, 2520, 14425
1784715774.118561447,0,server_start,none,23700416225,11224359022,0, 78.53, 2520, 14425
1784715774.711074656,0,server_start,none,23700717736,11224637575,12, 79.34, 2520, 14425
1784715775.295724657,0,server_start,none,23700717736,11224656324,11, 79.79, 2520, 14425
1784715775.874207964,0,server_start,none,23700736484,11224656324,12, 79.92, 2520, 14425
1784715776.445285687,0,server_start,none,23700740088,11224668402,10, 80.14, 2520, 14425
1784715777.015145428,0,server_start,none,23700740088,11224668402,13, 79.66, 2520, 14425
1784715777.582482480,0,server_start,none,23700742852,11224675716,10, 79.98, 2520, 14425
1784715778.181178838,0,server_start,none,23700742852,11224675716,9, 80.39, 2520, 14425
1784715778.765880237,0,server_start,none,23700746390,11224684226,13, 80.34, 2520, 14425
1784715779.340181559,0,server_start,none,23700746390,11224684226,11, 79.88, 2520, 14425
1784715779.915110742,0,server_start,none,23700750056,11224688848,0, 79.51, 2520, 14425
1784715780.496526418,0,server_start,none,23700755380,11224694442,0, 79.00, 2520, 14389
1784715781.077849862,0,server_start,none,23700755380,11224694442,72, 124.84, 2490, 14919
1784715781.658612069,0,server_start,none,23700758130,11224698556,10, 124.22, 2520, 14405
1784715782.239100210,0,server_start,none,23700758130,11224698556,0, 76.65, 2520, 14405
1784715782.820833312,0,server_start,none,23700772302,11224715736,0, 76.71, 2520, 14405
1784715783.401785103,0,server_start,none,23700772302,11224715736,0, 76.71, 2520, 14405
1784715783.983843319,0,server_start,none,23700775894,11224721532,0, 75.54, 2520, 14405
1784715784.565679061,0,server_start,none,23700777704,11224724614,0, 75.28, 2520, 14405
1784715785.148004284,0,server_start,none,23700777704,11224724614,0, 75.28, 2520, 14405
1784715785.728604374,0,server_start,none,23700781296,11224730934,0, 75.28, 2520, 14405
1784715786.309045742,0,server_start,none,23700781296,11224730934,0, 75.28, 2520, 14405
1784715786.888328869,0,server_start,none,23700784900,11224737730,0, 75.38, 2520, 14405
1784715787.470187166,0,server_start,none,23700784900,11224737730,0, 75.38, 2520, 14405
1784715788.051732822,0,server_start,none,23700789118,11224747106,0, 75.62, 2520, 14405
1784715788.632977975,0,server_start,none,23700790920,11224750874,0, 75.74, 2520, 14405
1784715789.214699692,0,server_start,none,23700790920,11224750874,0, 75.74, 2520, 14405
1784715789.796924390,0,server_start,none,23700794718,11224758596,0, 75.40, 2520, 14405
1784715790.379166921,0,server_start,none,23700794718,11224758596,0, 75.40, 2520, 14405
1784715790.960473145,0,server_start,none,23700798322,11224766612,0, 75.30, 2520, 14405
1784715791.541103192,0,server_start,none,23700798322,11224766612,0, 75.52, 2520, 14405
1784715792.123737054,0,server_start,none,23700801086,11224771662,0, 76.14, 2520, 14437
1784715792.789470426,0,server_start,none,23700803848,11224779290,0, 84.20, 2520, 37565
1784715793.371584766,0,server_start,none,23700803848,11224779290,0, 85.36, 2520, 37565
1784715793.952200604,0,server_start,none,23700867693,11224846992,0, 85.18, 2520, 37565
1784715794.531511771,0,server_start,none,23700867693,11224846992,0, 75.45, 2520, 37565
1784715795.112165353,0,server_start,none,23701097045,11225075124,0, 75.45, 2520, 37565
1784715795.694135065,0,server_start,none,23701097045,11225075124,0, 75.42, 2520, 37565
1784715796.274074654,0,server_start,none,23701260951,11225232529,0, 75.42, 2520, 37565
